,dq_min,dq_mean,dq_variance,dq_skewness,dq_kurtosis,slope_100_2,intercept_100_2,discharge_capacity_2,discharge_capacity_100,diff_QD_n_2,slope_100_91,intercept_100_91,ave_chg_time_5_1,max_temp_100_2,min_temp_100_2,Integral_temp_100_2,integral_resistance_2,minimum_IR,difference_IR_100_2,cycle_life
0,-0.008459642934268818,-0.0028734152246919164,9.663600264771342e-06,-0.5320584720505735,-1.3483118916844854,-0.00021374602487902417,1.0913808053676626,1.0706892,1.0759126,0.46836520000000004,4.578809523809946e-05,1.0714467749999996,13.37489399999999,31.632496,31.266918,18.742035734783858,0.016742354,0.0,-7.520000000000096e-05,1852
1,-0.011003816596621974,-0.00409961462134519,9.683678956852016e-06,-0.4293749031928047,-1.0291160019202557,6.676023038081467e-06,1.0809256081264464,1.0753012,1.0806297,0.009288300000000138,-3.717261904761013e-05,1.0843815749999994,13.409150000000004,31.376623,31.076239,19.74374744642884,0.017038831,0.0,-4.199100000000164e-05,2160
2,-0.017216391849644463,-0.004486734282886989,1.8323155109711005e-05,-1.0801942790076273,0.3486368188757716,1.1497981537975968e-05,1.0848050431911425,1.0799223,1.0849404,0.008131200000000005,-3.988095238093874e-05,1.0889613749999987,13.35824233333333,31.447081,31.146742,19.985984731657435,0.01686798,0.0,-1.3807000000001096e-05,2237
3,-0.018960539773269502,-0.007455784700018413,3.608997994486938e-05,-0.43905046294046807,-1.0954158488747705,1.846789790658516e-05,1.0840295246922997,1.0797229,1.0847498,0.006530099999999983,-1.853571428556662e-06,1.0849598749999985,12.025139666666671,29.982986,29.857,18.640967549259397,0.016369704,0.0,3.858100000000281e-05,1434
4,-0.013957995093677344,-0.005750008121960181,2.2503824885676158e-05,-0.36254812672859005,-1.3338305761630276,2.0460776088785814e-05,1.0818247240821586,1.0784167,1.0826457,0.005899899999999958,-3.412738095235716e-05,1.085987524999998,12.041850666666676,31.43331,31.18136,21.154488604089387,0.016787428,0.0,-5.331399999999875e-05,1709
5,-0.025178778949337288,-0.01107391297973859,6.624026126041227e-05,-0.1493501482196471,-1.227526520149324,1.2645575163054887e-05,1.0797063800047337,1.0761266,1.0797794,0.005943800000000055,-2.5590476190479844e-05,1.0823064250000003,10.967849666666668,30.786791,30.591145,21.62835834617806,0.016437579,0.0,-0.0001118670000000016,1074
6,-0.03788603931347978,-0.015965056248274823,0.00017026371292231957,-0.40793584962018636,-1.2380700944581655,-2.992546812539391e-06,1.081094976825163,1.0758358,1.0792426,0.006303200000000064,-5.970238095237028e-05,1.0852488749999991,10.07647899999999,32.023983,31.80961,15.245136221877491,0.017001977,0.0,-0.0003333460000000017,636
7,-0.03823338650707442,-0.016645727245619735,0.00015364340477588736,-0.3334166199580946,-1.120535904128327,-5.390845255627876e-06,1.0972188216442247,1.0938644,1.0957625,0.004104200000000002,-4.306547619047152e-05,1.1000732999999994,10.025081666666672,31.858171,31.629635,16.058352512944214,0.016311171,0.0,-3.842100000000029e-05,870
8,-0.028724475696229934,-0.011510600568480111,8.72200481780871e-05,-0.4275910282835675,-1.1821708568020548,1.9417354828529437e-05,1.0867299817431095,1.0829742,1.0876312,0.005975700000000028,-1.3227380952358858e-05,1.0889637749999979,11.207955999999996,32.421921,32.301666,13.138476529636502,0.016978227,0.0,-3.366599999999817e-05,1054
9,-0.023691513033622602,-0.008378205102529986,7.130228856858242e-05,-0.5948478865400659,-1.205555466507367,2.3348177466863312e-05,1.0589190395802652,1.0537786,1.0599719,0.009460400000000035,-1.220833333332423e-05,1.061170799999999,11.668875999999987,32.79211,32.581745,15.400246714568633,0.016575078,0.0,-0.0003035779999999988,788
